"ID","正式名称","正式名称（フリガナ）","略称","略称（フリガナ）","英語表記（ローマ字表記）","機関区分","都道府県コード","市区町村コード","所在地","所在地座標（緯度）","所在地座標（経度）","案内用ホームページアドレス","毎週決まった曜日に休診（月）","毎週決まった曜日に休診（火）","毎週決まった曜日に休診（水）","毎週決まった曜日に休診（木）","毎週決まった曜日に休診（金）","毎週決まった曜日に休診（土）","毎週決まった曜日に休診（日）","決まった週に休診（定期週）第1週（月）","決まった週に休診（定期週）第1週（火）","決まった週に休診（定期週）第1週（水）","決まった週に休診（定期週）第1週（木）","決まった週に休診（定期週）第1週（金）","決まった週に休診（定期週）第1週（土）","決まった週に休診（定期週）第1週（日）","決まった週に休診（定期週）第2週（月）","決まった週に休診（定期週）第2週（火）","決まった週に休診（定期週）第2週（水）","決まった週に休診（定期週）第2週（木）","決まった週に休診（定期週）第2週（金）","決まった週に休診（定期週）第2週（土）","決まった週に休診（定期週）第2週（日）","決まった週に休診（定期週）第3週（月）","決まった週に休診（定期週）第3週（火）","決まった週に休診（定期週）第3週（水）","決まった週に休診（定期週）第3週（木）","決まった週に休診（定期週）第3週（金）","決まった週に休診（定期週）第3週（土）","決まった週に休診（定期週）第3週（日）","決まった週に休診（定期週）第4週（月）","決まった週に休診（定期週）第4週（火）","決まった週に休診（定期週）第4週（水）","決まった週に休診（定期週）第4週（木）","決まった週に休診（定期週）第4週（金）","決まった週に休診（定期週）第4週（土）","決まった週に休診（定期週）第4週（日）","決まった週に休診（定期週）第5週（月）","決まった週に休診（定期週）第5週（火）","決まった週に休診（定期週）第5週（水）","決まった週に休診（定期週）第5週（木）","決まった週に休診（定期週）第5週（金）","決まった週に休診（定期週）第5週（土）","決まった週に休診（定期週）第5週（日）","祝日に休診","その他の休診日（gw、お盆等）","一般病床","療養病床","療養病床のうち医療保険適用","療養病床のうち介護保険適用","精神病床","結核病床","感染症病床","合計病床数"
"4411012600000","津久見市医師会立津久見中央病院","ツクミシイシカイリツツクミチュウオウビョウイン","","","Tsukumisiishikairitu Tsukumi Chuo Byouin","1","44","207","大分県津久見市大字千怒６０１１番地","33.072137","131.887705","http://tsukumi.oita.med.or.jp/","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","12月30日　12月31日　1月2日　1月3日","120","0","0","0","0","0","0","120"
"4411012700000","大久保病院","オオクボビョウイン","","","Okubo Hospital","1","44","208","大分県竹田市久住町栢木６０２６－２","33.057830","131.332060","http://www.okubo-hp.com","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","0","0","8/13、8/14、12/30、12/31、1/2、1/3","90","0","","","0","0","0","90"
"4411012800000","加藤病院","カトウビョウイン","","","Kato Hospital","1","44","208","大分県竹田市竹田１８５５番地","32.970484","131.392569","http://yuujinkai.com/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","12月31日　1月1日　1月2日　1月3日","0","0","","","212","0","0","212"
"4411012900000","竹田医師会病院","タケタイシカイビョウイン","","","TAKETA MEDICAL ASSOCIATION HOSPITAL","1","44","208","大分県竹田市拝田原","32.958491","131.379496","http://taketaisikaibyouin.com/","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","84","72","","","0","0","0","156"
"4411013000000","玄々堂高田病院","ゲンゲンドウ　タカダビョウイン","","","Gengendou Takada Hospital","1","44","209","大分県豊後高田市界３７８番地２","33.548191","131.427727","http://www.ag-holdings.jp/gengendo/takada/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","46","0","","","0","0","0","46"
"4411013100000","高田中央病院","タカダチュウオウビョウイン","","","Takada Chuo Hospital","1","44","209","大分県豊後高田市新地１１７６番地１","33.555183","131.440430","https://takachuo.com","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","お盆8/15　年末年始12/31～1/3","138","0","","","0","0","0","138"
"4411013200000","千嶋病院","チシマビョウイン","","","Chishima Hospital","1","44","209","大分県豊後高田市呉崎７３８番地１","33.575751","131.434034","https://www.chishimahp.com/","1","1","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0","","","196","0","0","196"
"4411013300000","医療法人オレンジ会　清和病院","イリョウホウジンオレンジカイ　セイワビョウイン","","","Seiwa Hospital","1","44","210","大分県杵築市船部２１６７－２０","33.445956","131.597398","http://orange-h.jp","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","年末年始12月31日～1月3日","0","0","","","126","0","0","126"
"4411013400000","杵築市立山香病院","キツキシリツヤマガビョウイン","","","Kitsukishiritsu Yamaga Byouin","1","44","210","大分県杵築市山香町大字野原１６１２番地１","33.445267","131.508568","http://www.yamaga-hp.jp/","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","12月29日～1月3日年末年始特別休診日","138","0","","","0","0","0","138"
"4411013500000","杵築中央病院","キツキチユウオウビヨウイン","","","kitsuki  central  hospital","1","44","210","大分県杵築市杵築１２０番地","33.415876","131.623316","https://kc-hospital.or.jp/","1","1","1","1","1","1","0","","","","","","","0","","","","","","","0","","","","","","","0","","","","","","","0","","","","","","","0","0","","60","0","","","0","0","0","60"
