,総　　数,,,,施 設 長,,,,医　　師,,,,歯科医師,,,,生活相談員,,,,社会福祉士(再掲),,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,管理栄養士,,,,栄 養 士,,,,歯科衛生士,,,,機能訓練指導員,,,,理学療法士(再掲),,,,作業療法士(再掲),,,,言語聴覚士(再掲),,,,看護師(再掲),,,,准看護師(再掲),,,,柔道整復師(再掲),,,,あん摩ﾏｯｻｰｼﾞ指圧師(再掲),,,,はり師・きゅう師(再掲),,,,障害者生活支援員,,,,介護支援専門員,,,,調 理 員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤
,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,
　　長　　　野,9263,4371,2467,2426,169,83,85,1,256,-,12,244,15,-,1,14,257,106,144,8,88,40,49,-,609,256,157,196,216,85,71,61,5756,3276,1272,1207,4084,2524,965,594,192,126,66,-,47,18,28,2,20,2,9,9,243,80,106,57,52,28,10,14,31,19,7,6,7,3,1,2,94,17,56,21,39,3,29,7,12,3,3,6,8,6,-,2,1,1,-,-,-,-,-,-,329,83,226,20,339,108,99,131,813,148,190,475
　　岐　　　阜,8564,3838,1866,2860,145,56,89,-,227,-,4,222,9,-,1,8,221,104,108,9,48,24,22,1,472,198,106,167,314,113,89,113,5436,2902,992,1542,3188,1894,675,619,207,110,75,22,23,11,9,3,33,3,12,18,176,52,76,48,39,9,17,13,18,6,7,6,2,-,-,2,48,9,28,11,45,19,21,6,13,6,2,6,10,4,2,3,1,-,-,1,1,1,-,-,247,79,146,22,228,40,37,152,825,168,122,535
　　静　　　岡,14281,7176,2793,4312,257,103,154,-,319,-,1,318,35,-,-,35,421,205,201,15,132,69,60,3,1028,394,205,429,325,120,87,118,8922,5462,1220,2240,5385,3591,827,966,345,159,154,32,68,20,39,10,54,9,12,33,409,107,168,135,69,23,22,24,36,15,13,8,3,-,3,-,136,18,56,62,61,8,28,25,42,23,13,6,46,14,24,8,15,6,8,2,-,-,-,-,387,151,216,20,355,122,83,150,1353,324,253,777
　　愛　　　知,20151,8558,5324,6269,297,100,197,-,499,9,8,483,35,1,1,33,552,211,325,17,162,79,79,3,1299,465,337,497,559,189,171,199,12983,6390,3285,3309,7118,3794,2011,1313,526,261,213,52,32,23,7,2,36,6,8,23,420,163,144,113,132,58,36,37,57,26,10,21,26,12,7,8,95,21,50,24,53,15,26,11,44,25,11,8,11,4,4,2,2,-,-,2,-,-,-,-,526,202,278,45,653,195,113,345,1733,343,239,1151
　　三　　　重,7997,4187,1520,2290,166,74,92,-,214,4,3,207,8,2,2,4,214,88,119,7,43,12,26,5,505,220,101,185,273,86,74,113,4794,3223,590,980,2699,1949,407,344,199,118,62,19,45,21,18,6,6,1,-,5,237,42,108,87,27,16,7,4,15,6,1,7,2,-,1,1,96,4,54,38,85,7,42,36,5,4,1,-,5,3,1,1,2,1,1,-,-,-,-,-,222,76,140,6,350,63,90,196,763,169,121,473
　　滋　　　賀,5544,2826,831,1887,97,42,55,-,131,-,1,130,21,-,1,20,145,75,65,5,48,32,15,1,432,184,76,172,109,34,27,48,3343,2141,271,931,2023,1439,210,374,142,66,63,13,12,3,6,2,12,-,1,11,157,33,63,61,25,15,5,4,13,3,5,4,3,2,-,1,77,9,37,31,31,2,11,18,1,1,-,-,7,1,4,2,-,-,-,-,-,-,-,-,148,76,66,6,178,29,43,107,618,143,94,382
　　京　　　都,10232,5073,2112,3047,165,62,102,1,271,12,8,251,7,-,2,5,311,141,158,11,76,35,36,5,678,263,146,269,225,80,67,78,6366,3760,1036,1570,3917,2555,724,637,223,130,78,15,36,21,11,3,9,-,2,7,229,67,95,68,44,21,10,12,20,7,5,9,14,6,7,1,79,6,47,26,40,9,23,8,18,9,2,7,14,8,1,5,1,1,-,-,1,-,-,1,354,110,222,23,350,144,46,160,1007,283,139,585
　　大　　　阪,28022,13132,5285,9604,446,236,210,-,892,40,26,827,15,-,-,15,688,402,258,28,182,106,68,8,1818,761,403,654,694,278,158,258,17782,9525,3107,5150,9649,6090,1797,1762,618,407,177,33,56,32,18,7,23,9,4,11,615,263,210,142,141,79,21,41,46,22,14,9,15,1,5,9,174,39,90,46,79,15,43,21,132,89,30,13,21,13,5,4,7,5,2,-,12,5,4,4,711,341,329,41,964,204,123,637,2689,630,260,1798
　　兵　　　庫,21437,9776,4307,7355,368,161,207,-,590,13,19,558,31,1,1,29,516,284,223,9,123,67,56,1,1440,553,291,597,608,202,122,284,13240,7190,2262,3788,7459,4728,1370,1360,518,262,198,58,64,18,32,14,33,6,4,23,467,171,180,116,93,42,24,28,44,26,4,14,11,3,1,6,164,49,79,35,94,15,56,24,50,31,14,5,8,4,1,2,2,-,1,1,12,8,1,3,490,232,240,18,989,189,238,562,2070,487,286,1296
　　奈　　　良,6565,2739,1516,2309,116,46,70,-,168,7,2,158,18,-,-,18,197,97,93,7,59,28,28,2,446,152,114,180,179,53,52,75,3993,1985,752,1256,2118,1255,424,439,153,88,52,14,15,5,7,4,19,-,4,15,178,36,76,66,37,7,13,18,16,9,-,7,6,4,-,2,57,5,29,23,37,6,23,8,18,5,8,5,2,1,-,1,4,-,2,1,-,-,-,-,189,75,105,8,253,70,66,117,641,125,124,391
