令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第32表　介護老人保健施設の従事者数，都道府県、職種（常勤（専従－兼務）－非常勤）別
,総　　数,,,,医師,,,,歯科医師,,,,薬剤師,,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,支援相談員,,,,社会福祉士(再掲),,,,理学療法士,,,,作業療法士,,,,言語聴覚士,,,,管理栄養士,,,,栄養士,,,,歯科衛生士,,,,介護支援専門員,,,,調理員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤
,,専　従,兼　務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,
　　三　　　重,4839,3172,396,1272,139,54,24,62,2,1,1,-,74,4,11,59,590,401,21,167,287,203,1,82,2281,1845,27,409,1457,1301,18,138,201,127,51,22,66,44,12,11,329,124,96,108,128,49,26,54,34,12,9,14,118,89,19,10,13,6,2,4,9,2,4,2,122,59,57,6,82,42,10,31,430,152,37,241
　　滋　　　賀,2076,1342,228,506,65,14,22,30,1,-,-,1,36,2,7,27,281,204,13,65,66,39,3,24,1007,775,32,200,768,635,20,113,85,66,15,5,30,24,5,1,116,46,55,16,80,42,20,17,14,3,9,1,57,36,20,-,1,-,1,-,7,-,1,6,58,41,15,2,32,7,-,25,170,67,15,88
　　京　　　都,5373,3297,816,1260,168,43,48,77,-,-,-,-,91,3,26,62,681,435,46,199,262,142,20,100,2613,1943,196,475,1683,1361,135,187,226,132,84,10,63,38,20,5,308,162,115,32,136,64,61,11,70,28,26,16,123,77,37,9,23,9,11,2,14,-,2,11,181,84,87,10,151,39,15,97,327,136,42,150
　　大　　　阪,14598,9314,1899,3384,437,164,101,172,3,-,1,2,149,10,39,99,2070,1365,152,552,771,512,29,231,6923,5252,287,1384,4082,3496,78,507,633,470,135,28,176,144,22,10,1082,376,549,157,449,167,211,70,146,45,52,50,330,226,81,23,12,5,7,-,12,7,-,5,438,251,167,20,199,43,23,134,944,421,65,459
　　兵　　　庫,11231,6421,1881,2929,340,89,121,130,-,-,-,-,172,8,39,124,1496,914,132,449,553,311,25,216,5217,3704,423,1090,3301,2689,161,450,425,277,135,13,123,90,30,3,598,198,321,78,417,145,193,78,142,43,51,48,248,139,86,22,29,14,13,2,14,5,3,6,300,137,152,12,333,107,45,181,951,330,142,479
　　奈　　　良,3857,2159,685,1014,133,32,40,60,-,-,-,-,61,2,12,47,536,295,67,173,131,66,12,52,1761,1294,125,341,895,765,26,105,154,106,40,8,30,25,3,2,278,70,154,53,133,41,63,28,58,8,36,13,96,52,41,3,7,3,4,-,22,1,10,10,107,58,44,5,8,3,-,5,373,125,33,215
　　和　歌　山,2538,1447,456,635,115,11,57,47,-,-,-,-,25,1,4,20,267,174,26,67,166,117,7,42,1129,872,67,190,753,656,27,70,114,53,57,4,17,10,7,-,155,32,97,26,48,15,20,13,18,1,8,9,48,26,16,6,22,11,6,5,11,1,3,7,94,28,61,5,116,35,9,72,210,70,18,122
　　鳥　　　取,2557,1383,732,443,82,16,43,23,1,1,-,-,11,-,5,5,282,156,61,65,140,93,10,38,1086,854,99,133,797,713,26,59,91,39,48,4,18,12,6,-,153,53,85,15,131,35,87,9,40,4,33,3,80,27,50,3,11,7,3,-,19,5,10,4,106,23,81,2,114,24,53,36,210,44,65,101
　　島　　　根,2123,1361,386,377,87,12,41,35,-,-,-,-,33,-,11,23,223,171,14,38,150,109,12,30,900,740,41,119,542,492,23,27,69,48,19,2,17,13,4,-,113,18,91,5,97,38,53,6,29,7,20,1,56,39,13,4,24,20,1,2,11,4,1,6,67,25,39,2,124,66,12,47,140,64,18,57
　　岡　　　山,4827,3042,703,1082,229,34,76,120,1,-,-,1,63,2,12,49,563,390,47,126,277,199,5,74,2167,1701,106,360,1458,1244,64,150,193,110,68,15,85,50,32,3,247,110,98,39,186,97,53,37,46,15,15,17,139,77,47,15,22,16,5,1,11,3,2,5,174,75,94,6,222,84,33,105,286,130,43,112
　　広　　　島,6147,3995,780,1372,172,55,63,55,5,-,-,5,98,2,14,82,621,472,24,124,493,373,16,103,2806,2285,85,436,1924,1657,79,188,272,167,80,25,115,72,35,8,323,94,139,90,242,69,70,104,64,9,19,35,163,112,39,11,24,16,7,1,15,2,5,8,230,59,159,12,182,80,19,83,439,201,40,198
　　山　　　口,3304,2075,755,474,119,22,64,32,4,-,1,3,65,1,32,32,381,310,26,46,256,212,11,33,1391,1152,75,164,991,877,33,81,159,86,65,7,58,37,18,2,172,53,106,13,132,17,99,16,27,2,18,6,83,53,22,7,15,6,9,-,3,-,1,2,115,44,69,2,156,32,86,37,224,82,70,72
　　徳　　　島,2882,1761,403,718,107,28,33,47,1,-,-,1,21,3,6,12,243,142,21,80,296,200,24,72,1204,933,38,233,741,621,32,88,112,83,27,3,11,8,2,-,156,59,67,30,104,45,50,10,11,1,4,5,76,52,22,2,17,16,-,1,21,6,3,12,114,39,67,7,180,77,5,98,218,76,35,106
　　香　　　川,2467,1532,484,450,98,13,50,35,-,-,-,-,15,-,6,8,259,182,27,50,233,159,14,60,1127,883,79,165,642,540,48,54,100,65,29,6,16,13,2,1,129,31,79,19,114,21,74,19,16,3,8,4,56,42,10,4,3,1,2,-,8,2,5,1,118,52,59,6,64,26,14,24,127,52,27,48
　　愛　　　媛,3940,2542,617,780,116,26,46,44,-,-,-,-,68,2,9,56,412,318,29,65,257,191,22,44,1840,1450,136,254,1276,1081,104,92,161,100,51,9,63,44,15,4,211,72,83,56,155,54,61,40,25,5,9,10,104,55,28,20,14,9,2,2,15,2,4,8,127,48,70,8,156,56,27,72,279,151,39,90
　　高　　　知,1579,996,329,253,63,4,31,28,2,-,1,1,32,-,11,21,176,136,14,26,89,72,8,8,677,560,38,79,532,455,35,41,63,39,21,3,23,17,6,-,85,32,46,7,41,14,25,2,16,7,6,2,39,25,11,3,7,3,3,1,6,3,3,-,60,27,30,3,89,23,38,28,133,51,41,41
　　福　　　岡,10281,6865,1574,1843,293,88,128,78,2,-,2,-,143,4,54,85,1145,807,149,189,784,577,57,150,4666,3672,229,766,3165,2749,165,251,448,281,148,19,158,127,26,4,479,221,237,21,366,171,170,25,67,21,36,10,256,181,61,14,42,32,9,1,21,7,4,10,308,153,139,15,468,245,58,165,794,407,93,294
　　佐　　　賀,2186,1547,308,330,66,20,26,20,-,-,-,-,42,4,6,32,259,196,11,53,176,130,11,35,942,758,77,107,680,577,60,43,94,63,25,5,35,29,3,2,107,55,46,6,66,33,21,13,22,12,2,8,66,53,12,2,21,18,3,-,3,2,-,1,65,36,29,-,115,80,15,20,142,89,24,28
　　長　　　崎,3757,2204,746,807,110,37,37,37,2,-,-,2,22,1,8,13,367,245,54,68,292,209,21,62,1547,1157,176,215,1083,857,144,82,155,81,66,7,33,18,14,1,192,81,103,8,81,34,44,3,33,14,15,4,94,56,25,13,16,8,3,4,16,1,2,13,114,44,63,6,268,111,38,119,448,125,90,232
　　熊　　　本,5113,3214,966,932,159,29,107,23,5,1,-,4,92,2,25,65,437,320,51,66,480,345,64,71,2161,1718,104,339,1465,1283,65,118,217,126,88,2,82,54,27,1,270,109,147,14,157,57,83,17,37,10,24,3,128,70,47,11,26,18,6,1,17,5,6,5,180,68,106,6,245,126,25,94,503,208,84,210
　　大　　　分,3424,2128,727,569,126,24,53,50,2,-,1,1,45,2,12,31,364,271,47,46,284,212,29,42,1529,1174,157,197,1161,948,109,105,147,92,51,4,73,51,22,1,156,56,83,17,101,37,44,20,45,13,23,10,87,46,31,10,10,6,1,2,19,8,4,8,134,41,87,5,126,46,31,49,248,100,71,77
　　宮　　　崎,2466,1785,298,383,92,23,29,41,1,-,-,1,20,-,5,15,270,206,24,41,181,155,8,19,1090,912,30,148,760,691,19,49,94,60,31,3,27,21,4,1,118,60,56,2,74,43,27,4,14,3,6,4,70,43,23,4,4,2,1,1,9,1,2,5,89,65,24,-,138,91,15,32,200,120,18,61
　　鹿　児　島,4859,3152,815,892,157,45,54,58,3,-,2,1,79,3,16,59,478,320,85,73,413,310,23,80,2063,1696,35,331,1375,1213,28,135,191,115,69,7,52,30,22,-,254,85,155,14,164,53,98,14,51,18,23,10,123,80,31,13,12,7,4,-,27,6,16,4,162,86,69,7,294,119,56,119,389,209,79,102
　　沖　　　縄,2912,2087,284,542,66,19,34,14,-,-,-,-,29,1,9,19,318,237,16,65,188,146,5,37,1438,1138,51,249,962,848,35,80,110,82,25,2,30,19,12,-,145,73,45,27,73,43,25,5,28,16,6,6,64,46,15,2,6,5,1,-,12,3,2,6,71,56,14,1,123,82,8,32,243,139,27,78
