病院コード,病院名,都道府県,構想区域,異常パターン,R4(2022)_高度急性期,R4(2022)_急性期,R4(2022)_回復期,R4(2022)_慢性期,R4(2022)_合計,R5(2023)_高度急性期,R5(2023)_急性期,R5(2023)_回復期,R5(2023)_慢性期,R5(2023)_合計,R6(2024)_高度急性期,R6(2024)_急性期,R6(2024)_回復期,R6(2024)_慢性期,R6(2024)_合計,R4_R6_完全一致,R5のみ異なる
1414080022,社会福祉法人 恩賜財団済生会支部 神奈川県済生会湘南平塚病院,神奈川,湘南西部,B: 総数同等・機能区分変動（急性期・回復期）,0,42,134,0,176,0,88,88,0,176,0,42,134,0,176,YES,YES
1414090020,医療法人社団昌栄会 相武台病院,神奈川,座間市,B: 総数同等・機能区分変動（急性期・回復期）,0,40,0,159,199,0,0,40,159,199,0,40,0,159,199,YES,YES
2020070011,塩尻協立病院,長野,塩尻市,B: 総数同等・機能区分変動（急性期・回復期）,0,0,42,57,99,0,42,0,57,99,0,0,42,57,99,YES,YES
2323070005,愛知県厚生農業協同組合連合会知多厚生病院,愛知,知多半島,B: 総数同等・機能区分変動（急性期・回復期）,0,108,85,0,193,0,162,31,0,193,0,108,85,0,193,YES,YES
2424020036,武内病院,三重,津市,B: 総数同等・機能区分変動（急性期・回復期）,0,132,48,0,180,0,180,0,0,180,0,132,48,0,180,YES,YES
2727030030,医療法人一祐会藤本病院,大阪,北河内,B: 総数同等・機能区分変動（急性期・回復期）,0,100,48,0,148,0,148,0,0,148,0,100,48,0,148,YES,YES
2727040025,医療法人桜希会東朋八尾病院,大阪,中河内,B: 総数同等・機能区分変動（急性期・回復期）,0,32,30,32,94,0,62,0,32,94,0,32,30,32,94,YES,YES
2727070063,社会医療法人啓仁会咲花病院,大阪,泉州,B: 総数同等・機能区分変動（急性期・回復期）,0,50,44,0,94,0,64,30,0,94,0,50,44,0,94,YES,YES
2727080003,医療法人尽生会聖和病院,大阪,大阪市都島区,B: 総数同等・機能区分変動（急性期・回復期）,0,0,90,32,122,0,49,41,32,122,0,0,90,32,122,YES,YES
2727080039,医療法人永寿会福島病院,大阪,大阪市,B: 総数同等・機能区分変動（急性期・回復期）,0,97,0,0,97,0,58,39,0,97,0,97,0,0,97,YES,YES
2727080096,社会医療法人ONE FLAG牧病院,大阪,大阪市,B: 総数同等・機能区分変動（急性期・回復期）,0,75,0,0,75,0,40,35,0,75,0,75,0,0,75,YES,YES
2828010017,みどり病院,兵庫,神戸,B: 総数同等・機能区分変動（急性期・回復期）,0,108,0,0,108,0,54,54,0,108,0,108,0,0,108,YES,YES
2828010076,社会医療法人社団 正峰会 神戸大山病院,兵庫,神戸,B: 総数同等・機能区分変動（急性期・回復期）,0,71,49,0,120,0,36,84,0,120,0,71,49,0,120,YES,YES
2828040022,医療法人社団仙齢会はりま病院,兵庫,東播磨,B: 総数同等・機能区分変動（急性期・回復期）,0,89,0,0,89,0,39,50,0,89,0,89,0,0,89,YES,YES
2828050026,服部病院,兵庫,三木市,B: 総数同等・機能区分変動（急性期・回復期）,0,93,36,50,179,0,45,84,50,179,0,93,36,50,179,YES,YES
3333020083,水島協同病院,岡山,県南西部,B: 総数同等・機能区分変動（急性期・回復期）,0,222,0,60,282,0,168,54,60,282,0,222,0,60,282,YES,YES
3838040116,独立行政法人国立病院機構四国がんセンター,愛媛,松山,B: 総数同等・機能区分変動（急性期・回復期）,4,339,25,0,368,4,364,0,0,368,4,339,25,0,368,YES,YES
3838050015,市立大洲病院,愛媛,八幡浜・大洲,B: 総数同等・機能区分変動（急性期・回復期）,0,101,41,0,142,0,142,0,0,142,0,101,41,0,142,YES,YES
4040100019,独立行政法人地域医療機能推進機構 福岡ゆたか中央病院,福岡,直方・鞍手,B: 総数同等・機能区分変動（急性期・回復期）,0,132,0,0,132,0,100,32,0,132,0,132,0,0,132,YES,YES
4040120048,医療法人健美会佐々木病院,福岡,北九州市八幡西区,B: 総数同等・機能区分変動（急性期・回復期）,0,40,0,34,74,0,0,40,34,74,0,40,0,34,74,YES,YES
4141010083,独立行政法人地域医療機能推進機構佐賀中部病院,佐賀,中部,B: 総数同等・機能区分変動（急性期・回復期）,0,160,0,0,160,0,116,44,0,160,0,160,0,0,160,YES,YES
4343010024,医療法人 相生会 にしくまもと病院,熊本,熊本市南区,B: 総数同等・機能区分変動（急性期・回復期）,0,38,108,0,146,0,72,74,0,146,0,38,108,0,146,YES,YES
4343050008,菊池中央病院,熊本,菊池,B: 総数同等・機能区分変動（急性期・回復期）,0,0,55,47,102,0,55,0,47,102,0,0,55,47,102,YES,YES
4444010112,畑病院,大分,別府市,B: 総数同等・機能区分変動（急性期・回復期）,0,0,58,0,58,0,58,0,0,58,0,0,58,0,58,YES,YES
4444080027,秋吉病院,大分,西部,B: 総数同等・機能区分変動（急性期・回復期）,0,36,0,0,36,0,0,36,0,36,0,36,0,0,36,YES,YES
101040041,医療法人為久会 札幌共立五輪橋病院,北海道,札幌,B: 総数同等・機能区分変動（急性期・慢性期）,0,170,0,18,188,0,188,0,0,188,0,170,0,18,188,YES,YES
2222080003,かば記念病院,静岡,西部,B: 総数同等・機能区分変動（急性期・慢性期）,0,44,0,0,44,0,0,0,44,44,0,44,0,0,44,YES,YES
2828020075,布谷整形外科病院,兵庫,西宮市,B: 総数同等・機能区分変動（急性期・慢性期）,0,33,0,106,139,0,0,0,139,139,0,33,0,106,139,YES,YES
303010039,髙松病院,岩手,盛岡市,B: 総数同等・機能区分変動（急性期・慢性期）,0,0,0,95,95,0,40,0,55,95,0,0,0,95,95,YES,YES
3737030038,医療法人社団弘徳会マオカ病院,香川,高松市,B: 総数同等・機能区分変動（急性期・慢性期）,0,58,0,58,116,0,116,0,0,116,0,58,0,58,116,YES,YES
3939020088,新松田会愛宕病院,高知,高知市,B: 総数同等・機能区分変動（急性期・慢性期）,0,225,50,79,354,0,264,50,40,354,0,225,50,79,354,YES,YES
707020056,福島県総合療育センター,福島,県中,B: 総数同等・機能区分変動（急性期・慢性期）,0,50,0,40,90,0,90,0,0,90,0,50,0,40,90,YES,YES
909050008,とちぎメディカルセンターしもつが,栃木,県南,B: 総数同等・機能区分変動（急性期・慢性期）,0,301,0,0,301,0,257,0,44,301,0,301,0,0,301,YES,YES
1313070082,社会医療法人社団森山医会 森山脳神経センター病院,東京,江戸川区,B: 総数同等・機能区分変動（急性期）,0,43,106,0,149,0,47,106,0,153,0,43,106,0,149,YES,YES
2020040001,伊那中央病院,長野,上伊那,B: 総数同等・機能区分変動（急性期）,116,238,36,0,390,116,242,36,0,394,116,238,36,0,390,YES,YES
3838020017,社会福祉法人恩賜財団済生会 西条病院,愛媛,新居浜・西条,B: 総数同等・機能区分変動（急性期）,4,122,24,0,150,4,119,24,0,147,4,122,24,0,150,YES,YES
4040010216,福岡記念病院,福岡,福岡・糸島,B: 総数同等・機能区分変動（急性期）,24,215,0,0,239,24,225,0,0,249,24,215,0,0,239,YES,YES
4646030047,独立行政法人国立病院機構指宿医療センター,鹿児島,南薩,B: 総数同等・機能区分変動（急性期）,4,150,0,0,154,4,154,0,0,158,4,150,0,0,154,YES,YES
4747050003,沖縄県立八重山病院,沖縄,八重山,B: 総数同等・機能区分変動（急性期）,23,241,0,0,264,23,232,0,0,255,23,241,0,0,264,YES,YES
707010033,福島赤十字病院,福島,県北,B: 総数同等・機能区分変動（急性期）,12,274,0,0,286,12,262,0,0,274,12,274,0,0,286,YES,YES
808010041,水戸赤十字病院,茨城,水戸,B: 総数同等・機能区分変動（急性期）,4,258,46,20,328,4,270,46,20,340,4,258,46,20,328,YES,YES
1414100008,相和病院,神奈川,相模原市緑区,B: 総数同等・機能区分変動（慢性期）,0,0,0,268,268,0,0,0,270,270,0,0,0,268,268,YES,YES
2626050083,医療法人仁心会宇治川病院,京都,山城北,B: 総数同等・機能区分変動（慢性期）,0,0,0,179,179,0,0,0,180,180,0,0,0,179,179,YES,YES
101040287,社会医療法人北楡会 札幌北楡病院,北海道,札幌,B: 総数同等・機能区分変動（高度急性期・回復期）,8,244,29,0,281,37,244,0,0,281,8,244,29,0,281,YES,YES
1111080030,社会医療法人壮幸会行田総合病院,埼玉,行田市,B: 総数同等・機能区分変動（高度急性期・急性期）,10,300,140,54,504,55,255,140,54,504,10,300,140,54,504,YES,YES
1212030059,松戸市立総合医療センター,千葉,東葛北部,B: 総数同等・機能区分変動（高度急性期・急性期）,72,520,0,0,592,105,487,0,0,592,72,520,0,0,592,YES,YES
1313010060,東京医科歯科大学病院,東京,区中央部,B: 総数同等・機能区分変動（高度急性期・急性期）,710,62,0,0,772,757,15,0,0,772,710,62,0,0,772,YES,YES
1313020055,東急株式会社 東急病院,東京,区南部,B: 総数同等・機能区分変動（高度急性期・急性期）,0,135,0,0,135,45,90,0,0,135,0,135,0,0,135,YES,YES
1313040005,ニューハート・ワタナベ国際病院,東京,区西部,B: 総数同等・機能区分変動（高度急性期・急性期）,9,35,0,0,44,44,0,0,0,44,9,35,0,0,44,YES,YES
1313090006,みなみ野循環器病院,東京,南多摩,B: 総数同等・機能区分変動（高度急性期・急性期）,4,16,0,0,20,0,20,0,0,20,4,16,0,0,20,YES,YES
1414100039,独立行政法人国立病院機構 相模原病院,神奈川,相模原,B: 総数同等・機能区分変動（高度急性期・急性期）,0,458,0,0,458,4,454,0,0,458,0,458,0,0,458,YES,YES
2222030053,公益社団法人有隣厚生会富士病院,静岡,駿東田方,B: 総数同等・機能区分変動（高度急性期・急性期）,56,52,52,0,160,0,108,52,0,160,56,52,52,0,160,YES,YES
2727020047,大阪医科薬科大学病院,大阪,三島,B: 総数同等・機能区分変動（高度急性期・急性期）,819,0,0,0,819,706,113,0,0,819,819,0,0,0,819,YES,YES
2727030071,社会医療法人弘道会萱島生野病院,大阪,北河内,B: 総数同等・機能区分変動（高度急性期・急性期）,4,136,0,0,140,0,140,0,0,140,4,136,0,0,140,YES,YES
2727060041,堺市立総合医療センター,大阪,堺市,B: 総数同等・機能区分変動（高度急性期・急性期）,480,0,0,0,480,345,135,0,0,480,480,0,0,0,480,YES,YES
2727080139,関西電力株式会社関西電力病院,大阪,大阪市,B: 総数同等・機能区分変動（高度急性期・急性期）,6,350,44,0,400,312,44,44,0,400,6,350,44,0,400,YES,YES
2727080146,公益財団法人日本生命済生会日本生命病院,大阪,大阪市,B: 総数同等・機能区分変動（高度急性期・急性期）,92,258,0,0,350,135,215,0,0,350,92,258,0,0,350,YES,YES
3434060041,公立学校共済組合 中国中央病院,広島,福山・府中,B: 総数同等・機能区分変動（高度急性期・急性期）,98,134,5,0,237,46,186,5,0,237,98,134,5,0,237,YES,YES
3737040045,独立行政法人国立病院機構四国こどもとおとなの医療センター,香川,西部,B: 総数同等・機能区分変動（高度急性期・急性期）,52,350,50,215,667,154,248,50,215,667,52,350,50,215,667,YES,YES
4040060089,社会医療法人雪の聖母会聖マリア病院,福岡,久留米市,B: 総数同等・機能区分変動（高度急性期・急性期）,165,659,0,66,890,178,646,0,66,890,165,659,0,66,890,YES,YES
4040060091,社会医療法人天神会新古賀病院,福岡,久留米,B: 総数同等・機能区分変動（高度急性期・急性期）,28,232,0,0,260,70,190,0,0,260,28,232,0,0,260,YES,YES
606030009,公立置賜総合病院,山形,置賜,B: 総数同等・機能区分変動（高度急性期・急性期）,20,400,0,0,420,71,349,0,0,420,20,400,0,0,420,YES,YES
1212010025,医療法人社団誠馨会 千葉メディカルセンター,千葉,千葉,B: 総数同等・機能区分変動（高度急性期）,14,334,0,0,348,12,334,0,0,346,14,334,0,0,348,YES,YES
2828010093,神戸市立医療センター中央市民病院,兵庫,神戸,B: 総数同等・機能区分変動（高度急性期）,750,0,0,0,750,786,0,0,0,786,750,0,0,0,750,YES,YES
