病院コード,病院名,都道府県,構想区域,2022_総病床数,2022_高度急性期,2022_急性期,2022_回復期,2022_慢性期,2023_総病床数,2023_高度急性期,2023_急性期,2023_回復期,2023_慢性期,2024_総病床数,2024_高度急性期,2024_急性期,2024_回復期,2024_慢性期
1414020014,医療法人横浜未来ヘルスケアシステム 戸塚共立いずみ野病院,神奈川,横浜,100,0,50,50,0,150,0,50,100,0,100,0,50,50,0
1414020040,社会福祉法人 親善福祉協会 国際親善総合病院,神奈川,横浜,287,6,247,34,0,287,6,281,0,0,287,6,247,34,0
1414050024,総合川崎臨港病院,神奈川,川崎市川崎区,199,39,160,0,0,233,0,110,55,68,199,39,160,0,0
1414060024,医療法人徳洲会 清川病院,神奈川,鎌倉市,198,0,0,89,109,307,0,0,89,218,198,0,0,89,109
1414060037,社会福祉法人湘南福祉協会総合病院湘南病院,神奈川,横須賀市,167,0,57,60,50,217,0,57,60,100,167,0,57,60,50
1414060043,聖ヨゼフ病院,神奈川,横須賀市,228,0,88,46,94,181,0,88,46,47,228,0,88,46,94
1414080022,社会福祉法人 恩賜財団済生会支部 神奈川県済生会湘南平塚病院,神奈川,湘南西部,176,0,42,134,0,176,0,88,88,0,176,0,42,134,0
1414090020,医療法人社団昌栄会 相武台病院,神奈川,座間市,199,0,40,0,159,199,0,0,40,159,199,0,40,0,159
1414100008,相和病院,神奈川,相模原市緑区,288,0,0,0,268,312,0,0,0,270,310,0,0,0,268
1414100021,医療法人社団清伸会 ふじの温泉病院,神奈川,相模原市緑区,216,0,0,0,216,432,0,0,0,432,216,0,0,0,216
1414100039,独立行政法人国立病院機構 相模原病院,神奈川,相模原,458,0,458,0,0,458,4,454,0,0,458,0,458,0,0
1414120005,山本記念病院,神奈川,横浜市都筑区,131,0,49,0,82,213,0,131,0,82,131,0,49,0,82
1818040007,泉ヶ丘病院,福井,敦賀市,116,0,39,44,33,116,0,39,0,77,116,0,39,44,33
4040010116,医療法人南川整形外科病院,福岡,福岡市西区,117,0,60,0,57,117,0,60,57,0,117,0,60,0,57
4040010216,福岡記念病院,福岡,福岡・糸島,239,24,215,0,0,249,24,225,0,0,239,24,215,0,0
4040010251,医療法人相生会新吉塚病院,福岡,福岡市博多区,143,0,0,99,44,190,0,0,146,44,143,0,0,99,44
4040030016,宗像医師会病院,福岡,宗像,164,0,116,36,12,287,0,157,72,12,164,0,116,36,12
4040060089,社会医療法人雪の聖母会聖マリア病院,福岡,久留米市,1137,165,659,0,66,1137,178,646,0,66,1037,165,659,0,66
4040060091,社会医療法人天神会新古賀病院,福岡,久留米,260,28,232,0,0,260,70,190,0,0,260,28,232,0,0
4040090015,医療法人洗心会 児嶋病院,福岡,飯塚,44,0,44,0,0,26,0,26,0,0,44,0,44,0,0
4040090022,医療法人博愛会 頴田病院,福岡,飯塚市,96,0,32,64,0,96,0,32,28,36,96,0,32,64,0
4040100019,独立行政法人地域医療機能推進機構 福岡ゆたか中央病院,福岡,直方・鞍手,132,0,132,0,0,132,0,100,32,0,132,0,132,0,0
4040120001,医療法人若葉会 九州鉄道記念病院,福岡,北九州市門司区,254,0,158,78,0,295,0,217,78,0,236,0,158,78,0
4040120048,医療法人健美会佐々木病院,福岡,北九州市八幡西区,74,0,40,0,34,74,0,0,40,34,74,0,40,0,34
4040120130,小倉リハビリテーション病院,福岡,北九州市小倉北区,198,0,0,158,40,238,0,0,158,80,198,0,0,158,40
4040120134,小倉到津病院,福岡,北九州市小倉北区,100,0,0,0,100,147,0,0,0,147,100,0,0,0,100
707010001,あづま脳神経外科病院,福島,福島市,168,0,37,83,48,228,0,37,143,48,168,0,37,83,48
707010033,福島赤十字病院,福島,県北,286,12,274,0,0,274,12,262,0,0,286,12,274,0,0
707020056,福島県総合療育センター,福島,県中,90,0,50,0,40,90,0,90,0,0,90,0,50,0,40
1010020051,二之沢病院,群馬,高崎市,120,0,0,0,120,240,0,0,0,240,120,0,0,0,120
1010030010,北毛保健生活協同組合北毛病院,群馬,渋川市,150,0,100,0,50,150,0,50,50,50,150,0,100,0,50
1010050006,西毛病院,群馬,富岡市,50,0,0,0,50,100,0,0,0,100,50,0,0,0,50
1010070008,内田病院,群馬,沼田市,99,0,49,50,0,91,0,41,50,0,99,0,49,50,0
808010041,水戸赤十字病院,茨城,水戸,432,4,258,46,20,432,4,270,46,20,378,4,258,46,20
808070019,茨城県立医療大学付属病院,茨城,取手・竜ヶ崎,120,0,0,120,0,120,0,0,47,73,120,0,0,120,0
4242010104,長崎みなとメディカルセンター,長崎,長崎,494,47,392,0,0,494,47,354,0,0,494,47,392,0,0
4242060010,長崎県五島中央病院,長崎,五島,230,0,140,50,0,230,0,130,50,0,230,0,140,50,0
2020030008,社会医療法人南信勤労者医療協会諏訪共立病院,長野,下諏訪町,110,0,56,54,0,164,0,110,54,0,110,0,56,54,0
2020040001,伊那中央病院,長野,上伊那,390,116,238,36,0,394,116,242,36,0,390,116,238,36,0
2020040002,医療法人暁会 仁愛病院,長野,伊那市,167,0,73,0,94,334,0,167,0,167,167,0,73,0,94
2020070011,塩尻協立病院,長野,塩尻市,99,0,0,42,57,99,0,42,0,57,99,0,0,42,57
2222030033,医療法人社団 静岡健生会 三島共立病院,静岡,駿東田方,84,0,0,54,30,89,0,0,59,30,84,0,0,54,30
2222030053,公益社団法人有隣厚生会富士病院,静岡,駿東田方,160,56,52,52,0,160,0,108,52,0,160,56,52,52,0
2222060009,医療法人社団綾和会 駿河西病院,静岡,焼津市,150,0,0,50,100,150,0,0,0,150,150,0,0,50,100
2222070004,医療法人弘遠会 すずかけヘルスケアホスピタル,静岡,磐田市,160,0,0,106,54,160,0,0,160,0,160,0,0,106,54
2222080003,かば記念病院,静岡,西部,44,0,44,0,0,44,0,0,0,44,44,0,44,0,0
3737030038,医療法人社団弘徳会マオカ病院,香川,高松市,116,0,58,0,58,116,0,116,0,0,116,0,58,0,58
3737040042,多度津三宅病院,香川,西部,29,0,0,0,29,29,0,0,29,0,29,0,0,0,29
3737040045,独立行政法人国立病院機構四国こどもとおとなの医療センター,香川,西部,667,52,350,50,215,667,154,248,50,215,667,52,350,50,215
3939020002,いずみの病院,高知,高知市,286,0,130,60,96,238,0,130,60,48,286,0,130,60,96
3939020081,山村病院,高知,高知市,33,0,0,0,33,33,0,0,33,0,33,0,0,0,33
3939020088,新松田会愛宕病院,高知,高知市,354,0,225,50,79,354,0,264,50,40,354,0,225,50,79
3131010009,国民健康保険智頭病院,鳥取,智頭町,99,0,52,0,47,146,0,52,0,94,99,0,52,0,47
3131030006,医療法人育生会高島病院,鳥取,米子市,119,0,60,0,59,179,0,60,0,119,119,0,60,0,59
4646010129,新成病院,鹿児島,鹿児島市,65,0,0,35,30,95,0,0,35,60,65,0,0,35,30
4646010213,日高病院,鹿児島,鹿児島市,99,0,0,99,0,138,0,0,138,0,99,0,0,99,0
4646030047,独立行政法人国立病院機構指宿医療センター,鹿児島,南薩,195,4,150,0,0,199,4,154,0,0,195,4,150,0,0
4646070020,松下病院,鹿児島,霧島市,44,0,0,0,44,88,0,0,88,0,44,0,0,0,44
4646070021,医療法人仁心会　福山病院,鹿児島,霧島市,24,0,0,0,24,48,0,0,0,48,24,0,0,0,24
